Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,197.240005,199.199997,196,198,198,5017400
2017-11-02,197.449997,199.440002,197.089996,199.320007,199.320007,3606300
2017-11-03,199.800003,200.550003,197.990005,200.009995,200.009995,3678800
2017-11-06,200,202.479996,198.089996,200.130005,200.130005,5846600
2017-11-07,200,200.610001,194.800003,195.889999,195.889999,6468000
2017-11-08,196,197.089996,194.740005,196.440002,196.440002,4237400
2017-11-09,194.460007,194.490005,190.809998,193.899994,193.899994,5979900
2017-11-10,191.610001,192.589996,189.5,192.020004,192.020004,6622200
2017-11-13,191.119995,196.050003,191,195.080002,195.080002,4607000
2017-11-14,193.639999,195.880005,193,195.710007,195.710007,3450500
2017-11-15,194.539993,195.419998,191.529999,192.119995,192.119995,4203100
2017-11-16,194.330002,197.699997,193.75,195.509995,195.509995,5678400
2017-11-17,195.740005,195.949997,192.649994,193.199997,193.199997,3906300
2017-11-20,193.300003,194.320007,191.899994,194.100006,194.100006,3827500
2017-11-21,195.039993,197.520004,194.970001,196.229996,196.229996,4787300
2017-11-22,196.580002,196.75,193.630005,196.320007,196.320007,5895400
2017-11-24,196.649994,196.899994,195.330002,195.75,195.75,2160500
2017-11-27,195.559998,195.850006,194,195.050003,195.050003,3210100
2017-11-28,195.339996,199.679993,194.009995,199.179993,199.179993,6981100
2017-11-29,198.910004,199.029999,184.320007,188.149994,188.149994,14202700
2017-11-30,190.309998,190.860001,186.679993,187.580002,187.580002,6630100
2017-12-01,186.990005,189.800003,185,186.820007,186.820007,6219500
2017-12-04,189.360001,189.720001,178.380005,184.039993,184.039993,9069800
2017-12-05,183.5,188.139999,181.190002,184.210007,184.210007,5783700
2017-12-06,183.380005,186.479996,182.880005,185.300003,185.300003,5490100
2017-12-07,185.710007,187.339996,183.220001,185.199997,185.199997,4659500
2017-12-08,186.5,189.419998,186.300003,188.539993,188.539993,4987300
2017-12-11,187.850006,189.419998,185.910004,186.220001,186.220001,5298600
2017-12-12,186.009995,187.850006,184.820007,185.729996,185.729996,4265900
2017-12-13,186.100006,188.690002,185.410004,187.860001,187.860001,4710000
2017-12-14,187.979996,192.639999,187.199997,189.559998,189.559998,7758000
2017-12-15,189.610001,191.429993,188.009995,190.119995,190.119995,7285641
